space,smoothing,sigma,certified_acc,abstain_rate,mean_radius,median_radius,certified_correct,smile_acc,no_smile_acc,log_v_iso_geo,mean_log_v_mani_geo
Pixel,Isotropic,0.01,0.9433,0.0,0.0148,0.015,283,0.9078,0.9748,-3150.4479,
Pixel,Isotropic,0.03,0.93,0.0,0.0442,0.045,279,0.8723,0.9811,-2601.1417,
Pixel,Isotropic,0.05,0.9233,0.0067,0.0735,0.075,277,0.8511,0.9874,-2345.7289,
Pixel,Isotropic,0.07,0.9067,0.0133,0.103,0.105,272,0.8085,0.9937,-2177.4928,
Pixel,Isotropic,0.1,0.8933,0.0067,0.1455,0.15,268,0.773,1.0,-1999.1553,
Pixel,Isotropic,0.12,0.8833,0.0067,0.1738,0.1801,265,0.7518,1.0,-1907.9945,
Pixel,Isotropic,0.15,0.8567,0.02,0.2169,0.2251,257,0.695,1.0,-1796.4228,
Pixel,Isotropic,0.17,0.84,0.01,0.2383,0.2551,252,0.6596,1.0,-1733.8412,
Pixel,Isotropic,0.2,0.7867,0.0433,0.2802,0.3001,236,0.5461,1.0,-1652.5817,
Pixel,Isotropic,0.22,0.7467,0.0333,0.3029,0.3301,224,0.461,1.0,-1604.9266,
Pixel,Isotropic,0.25,0.7033,0.0267,0.3419,0.3751,211,0.3688,1.0,-1541.0099,
Pixel,Isotropic,0.27,0.67,0.0333,0.3681,0.4051,201,0.2979,1.0,-1502.5294,
Pixel,Isotropic,0.3,0.6167,0.0267,0.4087,0.4501,185,0.1844,1.0,-1449.8492,
Pixel,Isotropic,0.32,0.57,0.0467,0.4526,0.4802,171,0.0851,1.0,-1417.5799,
Pixel,Isotropic,0.35,0.55,0.01,0.4994,0.5252,165,0.0426,1.0,-1372.7738,
Pixel,Isotropic,0.37,0.5467,0.0067,0.5377,0.5552,164,0.0355,1.0,-1344.9889,
Pixel,Isotropic,0.4,0.53,0.01,0.5905,0.6002,159,0.0,1.0,-1306.0081,
Pixel,Isotropic,0.42,0.53,0.0067,0.6242,0.6302,159,0.0,1.0,-1281.613,
Pixel,Isotropic,0.45,0.53,0.0,0.6726,0.6752,159,0.0,1.0,-1247.1166,
Pixel,Isotropic,0.47,0.53,0.0,0.7045,0.7052,159,0.0,1.0,-1225.3741,
Pixel,Isotropic,0.5,0.53,0.0,0.7502,0.7502,159,0.0,1.0,-1194.4364,
Pixel,Isotropic,0.55,0.53,0.0,0.8253,0.8253,159,0.0,1.0,-1146.7813,
Pixel,Manifold,0.01,0.92,0.0,0.015,0.015,276,0.8794,0.956,-3150.4479,-4418.8558
Pixel,Manifold,0.03,0.92,0.0,0.045,0.045,276,0.8794,0.956,-2601.1417,-3869.5497
Pixel,Manifold,0.05,0.92,0.0,0.075,0.075,276,0.8794,0.956,-2345.7289,-3614.1369
Pixel,Manifold,0.07,0.92,0.0,0.105,0.105,276,0.8794,0.956,-2177.4928,-3445.9007
Pixel,Manifold,0.1,0.92,0.0,0.15,0.15,276,0.8794,0.956,-1999.1553,-3267.5633
Pixel,Manifold,0.12,0.92,0.0,0.18,0.1801,276,0.8794,0.956,-1907.9945,-3176.4025
Pixel,Manifold,0.15,0.92,0.0,0.2249,0.2251,276,0.8794,0.956,-1796.4228,-3064.8307
Pixel,Manifold,0.17,0.92,0.0,0.2549,0.2551,276,0.8794,0.956,-1733.8412,-3002.2491
Pixel,Manifold,0.2,0.92,0.0,0.2999,0.3001,276,0.8794,0.956,-1652.5817,-2920.9897
Pixel,Manifold,0.22,0.92,0.0,0.3298,0.3301,276,0.8794,0.956,-1604.9266,-2873.3346
Pixel,Manifold,0.25,0.92,0.0,0.3747,0.3751,276,0.8794,0.956,-1541.0099,-2809.4179
Pixel,Manifold,0.27,0.92,0.0,0.4046,0.4051,276,0.8794,0.956,-1502.5294,-2770.9374
Pixel,Manifold,0.3,0.92,0.0,0.4495,0.4501,276,0.8794,0.956,-1449.8492,-2718.2571
Pixel,Manifold,0.32,0.92,0.0,0.4794,0.4802,276,0.8794,0.956,-1417.5799,-2685.9879
Pixel,Manifold,0.35,0.92,0.0,0.5242,0.5252,276,0.8794,0.956,-1372.7738,-2641.1818
Pixel,Manifold,0.37,0.92,0.0,0.5539,0.5552,276,0.8794,0.956,-1344.9889,-2613.3969
Pixel,Manifold,0.4,0.92,0.0,0.5988,0.6002,276,0.8794,0.956,-1306.0081,-2574.4161
Pixel,Manifold,0.42,0.92,0.0,0.6286,0.6302,276,0.8794,0.956,-1281.613,-2550.021
Pixel,Manifold,0.45,0.92,0.0,0.6734,0.6752,276,0.8794,0.956,-1247.1166,-2515.5246
Pixel,Manifold,0.47,0.92,0.0,0.7032,0.7052,276,0.8794,0.956,-1225.3741,-2493.782
Pixel,Manifold,0.5,0.92,0.0,0.7483,0.7502,276,0.8794,0.956,-1194.4364,-2462.8443
Pixel,Manifold,0.55,0.92,0.0,0.8225,0.8253,276,0.8794,0.956,-1146.7813,-2415.1892
