attribute,smoothing,sigma,certified_acc,mean_radius,abstain_rate,certified_correct,smile_acc,no_smile_acc,log_v_iso_geo,mean_log_v_mani_geo,nn_ood_count,mc_ood_count
wearing_hat,Isotropic,0.1,0.65,0.1449,0.01,65,0.3,1.0,-1999.1553,,13.86,0.0
wearing_hat,Isotropic,0.15,0.59,0.2155,0.02,59,0.18,1.0,-1796.4228,,13.86,0.0
wearing_hat,Isotropic,0.2,0.51,0.2911,0.03,51,0.02,1.0,-1652.5817,,13.86,0.0
wearing_hat,Isotropic,0.25,0.51,0.3711,0.0,51,0.02,1.0,-1541.0099,,13.86,0.0
wearing_hat,Isotropic,0.3,0.5,0.4475,0.0,50,0.0,1.0,-1449.8492,,13.86,0.0
wearing_hat,Isotropic,0.35,0.5,0.5252,0.0,50,0.0,1.0,-1372.7738,,13.86,0.0
wearing_hat,Isotropic,0.4,0.5,0.6002,0.0,50,0.0,1.0,-1306.0081,,13.86,0.0
wearing_hat,Isotropic,0.45,0.5,0.6752,0.0,50,0.0,1.0,-1247.1166,,13.86,0.0
wearing_hat,Isotropic,0.55,0.5,0.8253,0.0,50,0.0,1.0,-1146.7813,,13.86,0.0
wearing_hat,Manifold,0.1,0.65,0.1491,0.0,65,0.32,0.98,-1999.1553,-3265.0784,13.86,0.0
wearing_hat,Manifold,0.15,0.65,0.2234,0.0,65,0.32,0.98,-1796.4228,-3062.3458,13.86,0.0
wearing_hat,Manifold,0.2,0.65,0.2971,0.0,65,0.32,0.98,-1652.5817,-2918.5048,13.86,0.0
wearing_hat,Manifold,0.25,0.65,0.3714,0.0,65,0.32,0.98,-1541.0099,-2806.933,13.86,0.0
wearing_hat,Manifold,0.3,0.65,0.4457,0.0,65,0.32,0.98,-1449.8492,-2715.7722,13.86,0.0
wearing_hat,Manifold,0.35,0.64,0.5252,0.01,64,0.3,0.98,-1372.7738,-2638.572,13.86,0.0
wearing_hat,Manifold,0.4,0.64,0.6002,0.01,64,0.3,0.98,-1306.0081,-2571.8063,13.86,0.0
wearing_hat,Manifold,0.45,0.64,0.6745,0.01,64,0.3,0.98,-1247.1166,-2512.9148,13.86,0.0
wearing_hat,Manifold,0.55,0.64,0.8238,0.01,64,0.3,0.98,-1146.7813,-2412.5795,13.86,0.0
