attribute,smoothing,sigma,certified_acc,mean_radius,abstain_rate,certified_correct,smile_acc,no_smile_acc,log_v_iso_geo,mean_log_v_mani_geo,nn_ood_count,mc_ood_count
wearing_hat,Isotropic,0.2,0.5,0.3001,0.0,50,0.0,1.0,-1652.5817,,23.82,14.69
wearing_hat,Isotropic,0.25,0.5,0.3751,0.0,50,0.0,1.0,-1541.0099,,23.82,14.67
wearing_hat,Isotropic,0.3,0.5,0.4501,0.0,50,0.0,1.0,-1449.8492,,23.82,14.56
wearing_hat,Isotropic,0.35,0.5,0.5252,0.0,50,0.0,1.0,-1372.7738,,23.82,14.57
wearing_hat,Isotropic,0.4,0.5,0.6002,0.0,50,0.0,1.0,-1306.0081,,23.82,14.56
wearing_hat,Isotropic,0.45,0.5,0.6752,0.0,50,0.0,1.0,-1247.1166,,23.82,14.57
wearing_hat,Isotropic,0.5,0.5,0.7502,0.0,50,0.0,1.0,-1194.4364,,23.82,14.55
wearing_hat,Isotropic,0.55,0.5,0.8253,0.0,50,0.0,1.0,-1146.7813,,23.82,14.54
wearing_hat,Isotropic,0.6,0.5,0.9003,0.0,50,0.0,1.0,-1103.2756,,23.82,14.52
wearing_hat,Isotropic,0.65,0.5,0.9753,0.0,50,0.0,1.0,-1063.2542,,23.82,14.48
wearing_hat,Manifold,0.2,0.85,0.2981,0.02,85,0.84,0.86,-1652.5817,-2950.6584,23.82,14.96
wearing_hat,Manifold,0.25,0.85,0.3722,0.02,85,0.84,0.86,-1541.0099,-2839.0867,23.82,14.97
wearing_hat,Manifold,0.3,0.85,0.4457,0.02,85,0.84,0.86,-1449.8492,-2747.9259,23.82,14.93
wearing_hat,Manifold,0.35,0.85,0.5193,0.02,85,0.84,0.86,-1372.7738,-2670.8505,23.82,14.93
wearing_hat,Manifold,0.4,0.85,0.5929,0.02,85,0.84,0.86,-1306.0081,-2604.0848,23.82,14.88
wearing_hat,Manifold,0.45,0.85,0.6664,0.02,85,0.84,0.86,-1247.1166,-2545.1933,23.82,14.83
wearing_hat,Manifold,0.5,0.85,0.7395,0.02,85,0.84,0.86,-1194.4364,-2492.5131,23.82,14.81
wearing_hat,Manifold,0.55,0.85,0.813,0.02,85,0.84,0.86,-1146.7813,-2444.858,23.82,14.8
wearing_hat,Manifold,0.6,0.85,0.8861,0.02,85,0.84,0.86,-1103.2756,-2401.3523,23.82,14.81
wearing_hat,Manifold,0.65,0.85,0.9588,0.02,85,0.84,0.86,-1063.2542,-2361.3309,23.82,14.8
